id,title,vote_average,popularity,poster_path,original_language,original_title,overview,release_date,genres
299534,어벤져스: 엔드게임,8.6,341.226,https://image.tmdb.org/t/p/w500/n78LK2t1uQP68Ud0VXHRe0HmKOp.jpg,en,Avengers: Endgame,"인피니티 워 이후 절반만 살아남은 지구, 마지막 희망이 된 어벤져스! 먼저 떠난 그들을 위해 모든 것을 걸었다!",2019-04-24,"['12', '878', '28']"
299537,캡틴 마블,7.1,254.495,https://image.tmdb.org/t/p/w500/jWd9tWuoDPN561r7vp4ekngEe7f.jpg,en,Captain Marvel,"1995년, 공군 파일럿 시절의 기억을 잃고 크리족 전사로 살아가던 캐럴 댄버스(브리 라슨)가 지구에 불시착한다. 쉴드 신참 요원 닉 퓨리(사무엘 L. 잭슨)에게 발견되어 팀을 이룬 그들은 지구로 향하는 더 큰 위협을 감지하고 힘을 합쳐 전쟁을 끝내야 하는데…",2019-03-06,"['28', '12', '878']"
456740,헬보이,5.2,201.527,https://image.tmdb.org/t/p/w500/gua7L4syuPUZeG35lpu5xvOzquH.jpg,en,Hellboy,"'헬보이' 자신이 소속된 B.P.R.D의 임무로 영국의 한 비밀 단체의 괴수 사냥을 도우러 갔지만 되려 공격을 당하고, 곧 영국에서 어마어마한 일이 벌어지고 있다는 것을 알게 된다. 서기 566년, 아서왕에게 패하고 몸이 7조각으로 나뉘어 봉인된 '블러드 퀸'을 다시 부활시켜 인류를 파멸시키려는 초자연적 빌런들에 의해 영국은 물론 전 세계가 위험에 빠지게 된다. 헬보이는 이들에 맞서 인류를 위험으로부터 구해야만 하는데…",2019-04-10,"['28', '12', '14']"
543103,가면라이더 헤이세이 제네레이션즈 FOREVER,4.8,191.902,https://image.tmdb.org/t/p/w500/6sOFQDlkY6El1B2P5gklzJfVdsT.jpg,ja,仮面ライダー平成ジェネレーションズFOREVER,,2018-12-22,"['28', '12', '878']"
299536,어벤져스: 인피니티 워,8.3,183.831,https://image.tmdb.org/t/p/w500/kmP6viwzcEkZeoi1LaVcQemcvZh.jpg,en,Avengers: Infinity War,"타노스(조시 브롤린)는 6개의 인피니티 스톤을 획득해 신으로 군림하려 한다. 그것은 곧 인류의 절반을 학살해 우주의 균형을 맞추겠다는 뜻. 타노스는 닥터 스트레인지(베네딕트 컴버배치)가 소유한 타임 스톤, 비전(폴 베타니)의 이마에 박혀 있는 마인드 스톤을 차지하기 위해 지구를 침략한다. 아이언맨(로버트 다우니 주니어)과 스파이더맨(톰 홀랜드)은 가디언즈 오브 갤럭시의 멤버들과 타노스를 상대한다. 지구에선 캡틴 아메리카(크리스 에반스), 완다(엘리자베스 올슨), 블랙 위도우(스칼렛 요한슨), 블랙 팬서(채드윅 보스먼) 등이 비전을 지키기 위해 뭉친다.",2018-04-25,"['12', '28', '14']"
537915,애프터,6.1,180.443,https://image.tmdb.org/t/p/w500/u3B2YKUjWABcxXZ6Nm9h10hLUbh.jpg,en,After,,2019-04-11,"['18', '10749']"
495925,도라에몽: 진구의 보물섬,5.3,171.333,https://image.tmdb.org/t/p/w500/nWe3eY9YZC2EG5PFwIAENiqay4J.jpg,ja,映画ドラえもん のび太の宝島,보물을 찾기로 결심한 진구는 도라에몽의 ‘보물찾기 지도’로 수수께끼 섬을 발견한다.  ‘노진구올라호’를 타고 보물섬으로 향하던 도라에몽과 친구들은 해적에게 습격 당하고 이슬이까지 납치되고 마는데…  우연히 바다에서 표류하던 소년 플록과 앵무새 퀴즈를 만나 보물섬의 비밀에 대해 알게 된다! 과연 캡틴도라와 친구들은 수수께끼 섬에 잠든 환상의 보물을 찾을 수 있을까?,2018-03-03,['16']
438650,콜드 체이싱,5.2,142.888,https://image.tmdb.org/t/p/w500/r2pzXSlKzof7U7ahrX5hh1HNGit.jpg,en,Cold Pursuit,"평범한 제설차 운전수이자 올해의 모범시민 ‘넬스 콕스맨’. 법 없이도 살 수 있던 그는 마약 조직의 사이코패스 보스 ‘바이킹’이 꾸며낸 아들의 처참한 죽음 앞에서 분노의 심판자로 다시 태어난다. ‘스피도’, ‘림보’, ‘산타’ 등 마피아들을 연달아 처단하며 그들의 소굴에 한 걸음 가까워질수록 ‘넬스’의 분노는 죽음도 대신할 수 없는 깊은 복수심으로 소용돌이 치는데…",2019-02-07,"['28', '18', '53', '80', '35']"
287947,샤잠!,7.2,127.664,https://image.tmdb.org/t/p/w500/sPZxApU8d90Czd11S60UqOhuP9R.jpg,en,Shazam!,"솔로몬의 지혜, 헤라클레스의 힘, 아틀라스의 체력, 제우스의 권능, 아킬레스의 용기, 머큐리의 스피드까지 우연히 슈퍼 파워를 얻게 된 소년. 자신의 능력을 깨닫고 악당을 물리치는 슈퍼히어로로 다시 태어난다! 주문을 외쳐라, ‘샤잠’!",2019-03-23,"['35', '12', '14']"
487297,왓 맨 원트,5.8,120.165,https://image.tmdb.org/t/p/w500/30IiwvIRqPGjUV0bxJkZfnSiCL.jpg,en,What Men Want,,2019-02-08,"['35', '14', '10749']"
